sentence,meaning_labels,dim1,dim2
"Stomach Ache Records listed only a Mexican mailing address, and credited to the singles to a fictional person named Charlie Ward, so that any responsibility could be deflected.
",3.0,4.4699974,-2.6063645
"Country music historian Paul Kingsbury also highlighted her ""ache"", saying in 2007, ""Cline's hit recording swings with such velvety finesse, and her voice throbs and aches so exquisitely, that the entire production sounds absolutely effortless.""
",0.0,-4.2061224,-0.4499928
"The Thiersee Ache drains the Lake, has a length of 7 km, which merges with the Inn River anew.
",3.0,3.9208922,-2.3474188
"In 1521, Ache was coming fresh from a military victory at the helm of the Bruneian navy and was supposedly on his way to Maynila with the intent of confronting his cousin when he came upon and attacked the remnants of the Magellan expedition, then under the command of Sebastian Elcano.
",3.0,3.5577083,-2.4014351
"Later, at her party, everyone shows up but Frank, who has a stomach ache.
",0.0,-5.3947325,-1.73415
"He is especially known by Three Stooges fans for his appearances in ""Saved by the Belle"", ""An Ache in Every Stake"" and ""Micro-Phonies"".
",3.0,4.5141635,-2.5647426
"The valley lies in the Kitzbühel Alps and its main river of the valley is the Brixentaler Ache.
",2.0,6.2578025,-2.0327125
"Reviews for the album were uniformly positive, with many noting the guest appearance of Canadian singer-songwriter Ron Sexsmith on the closing track 'Heart Does Ache'.
",3.0,4.12597,-3.2201567
"Arriving in 2009, Mads Langer features “Fact – Fiction”: a platinum single that wholly embodies his sensibilities in its quietly intense vocal delivery, mesmerizing melodies, and storytelling that captures the precise ache of loneliness.
",0.0,-4.7405314,-0.931486
"He goes to bed that night with a terrible stomach ache and awakes with a very bad headache.
",0.0,-5.4442887,-1.9200996
"The Fuscher Ache rises as the confluence of the Kaefertalbach und the Traunerbach near the ""Fuscher Törl"" at a height of about in the Lower Pinzgau.
",2.0,5.7791486,-1.9323006
"The following year, Bally Ache won this race then ran second in the Derby but won the Preakness Stakes.
",3.0,3.895604,-2.2823036
"Ache has not been analyzed in classifications of Southeastern Loloish by Pelkey (2011) and Lama (2012), and hence remains unclassified within the Loloish branch.
",-1.0,3.2701318,1.4882077
"The extracellular domain of NLGN consists mostly of a region that is homologous to acetylcholinesterases, but the amino acids important for catalysis in AChE are not conserved in NLGN, which lack esterase activity.
",1.0,1.0625914,8.582215
"Withdrawal symptoms are generally mild - loss of appetite, insomnia, feelings of uneasiness/anxiety, tension, stomach ache, headache and irritability all being common symptoms.
",0.0,-5.8666363,-1.1360805
"Symptoms will often include pain or ache over the front and outer aspect of the shoulder, pain aggravated by leaning on the elbow and pushing upwards on the shoulder (such as leaning on the armrest of a reclining chair), intolerance of overhead activity, pain at night when lying directly on the affected shoulder, pain when reaching forward (e.g.
",0.0,-5.624604,-0.99136513
"However, what separated DeepPeep and other search engines is that DeepPeep uses the ACHE crawler, 'Hierarchical Form Identification', 'Context-Aware Form Clustering' and 'LabelEx' to locate, analyze, and organize web forms to allow easy access to users.
",1.0,1.301477,5.35254
"""The New York Times"" said of the CRT, ""Theater lovers desperately seeking a touch of class to assuage the ache of Tony fallout should drive to the University of Connecticut at Storrs for an essential restorative by the Connecticut Repertory Theater.""
",0.0,-5.656241,-1.1116296
"Jennifer has a terrible stomach ache, but she does not let her bad health get in the way with her performance.
",0.0,-5.5277576,-1.6695964
"It was alleged that the political activists and feminist was poisoned at the function after taking a hot tea when she complained of stomach ache.
",0.0,-5.7006407,-1.3420993
"His humanity, and his disagreement in the ""Jewish Question"" appears even here, too – a quote from one of his letters, which he sent to his father from Kiev: ""[...] Yet another sad topic: the Jewish companies, as I hear, -there 20 or 30 000 are at the mercy of the sadist's passions, in every regard; the stomach of man gets ache [looking at this; it is abhorrent, that in the 20th century, it happens at us, too... [...] I fear, we will pay for this very dearly once.
",0.0,-4.2903776,-0.50188005
"He has served twice as president of the ACHE Houston chapter.
",1.0,1.5716174,5.1107006
"To the south the ""Gaistal"" valley and its river, the Leutascher Ache, separate the Wetterstein Mountains from the Mieming Chain.
",2.0,5.76531,-2.0952613
"Honorary Fellowship is a special category of ACHE membership.
",1.0,1.5698211,5.2425275
"On 10 March 1996, Zachary Fisher was recognized as the 1996 American College of Healthcare Executives Honorary Fellow at the ACHE's Convocation Ceremony.
",1.0,1.4432365,5.360686
"The Windauer Ache is very popular for whitewater canoeing (grade WW II to WW V).
",3.0,3.9595478,-2.259947
"Including ""An Ache in Every Stake"", ""A Bird in the Head"", ""Calling All Curs"", ""Punch Drunks"", ""No Census, No Feeling"", and ""A Plumbing We Will Go"".
",3.0,4.43515,-2.5012817
"When the snow reaches certain levels the road and railway line are closed and a diversion is used via Seefeld and the narrow valley of the Leutascher Ache to Mittenwald.
",2.0,5.663821,-2.151165
"Hawkes uses the Ache people of Paraguay as evidence for the Show-off hypothesis.
",3.0,3.593713,-2.197505
"Irreversible AChE inhibitors have been used in insecticides (e.g., malathion) and nerve gases for chemical warfare (e.g., Sarin and Soman).
",1.0,1.2885271,8.214
"In the meantime, Ache was raised alongside his cousin, who was ruler of Tondo – presumed by some to be Bunao Lakandula.
",3.0,3.9071383,-2.3087971
"In folk medicine in Honduras the boiled root of ""Dorstenia contrajerva"" is used to cure diarrhea, dysentery, and stomach ache.
",0.0,-5.619567,-0.8430631
"When diazinon enters the body, it is oxidatively decomposed to diazoxon, an organophosphate compound that is much more poisonous than diazinon; it mainly causes the inhibition of AChE.
",1.0,1.1523206,8.27806
"The main rivers in Vorarlberg are the Ill (running through the Montafon and Walgau valleys into the Rhine), the Rhine (forming the border with Switzerland), the Bregenzer Ache and the Dornbirner Ach.
",2.0,6.3360925,-1.9564484
"Ache is spoken in Shuangbai County (pop.
",1.0,3.0812287,1.7197437
"The ACHE Crawler is used to gather links and utilizes a learning strategy that increases the collection rate of links as these crawlers continue to search.
",1.0,1.4014803,5.0640783
"There, she joined the theatre society, and gained parts in the stage plays: ""Sore Throats"" and ""A Slight Ache"" both directed by Thom Tuck; ""Skylight"" directed by Michael Sophocles; ""Private Lives"" directed by Frederic Wake-Walker; ""Bedroom Farce"" directed by Simon Yadoo; the speaker in the ""Vagina Monologues"" directed by Alice Russell.
",3.0,4.188597,-3.1858327
