sentence,sense_labels,dim1,dim2
"""An Ache in Every Stake"", ""A Bird in the Head"", ""Calling All Curs"", ""Cash and Carry"", ""Disorder in the Court"", ""Dizzy Detectives"", ""Dizzy Pilots"", ""Dopey Dicks"", ""Dutiful But Dumb"", ""The Ghost Talks"", ""Healthy, Wealthy, and Dumb"", ""Micro-Phonies"", ""No Census, No Feeling"", ""Pardon My Scotch"", ""A Plumbing We Will Go"", ""Pop Goes the Easel"", ""Punch Drunks"", ""Some More of Samoa"", ""Studio Stoops"", ""Tassels in the Air"", ""Three Little Beers"", ""Three Missing Links"", ""Three Sappy People"", ""Uncivil Warriors"", ""Violent is the Word for Curly"", and ""Woman Haters"".
",2,5.200183,-2.250924
"At the foot of the steep falls of the summit lie the headwaters of the Almbach, which ends after flowing through the in Berchtesgadener Ache from the south.
",2,5.3168254,-2.2550616
"The most common side effects include red-brown urine (showing that iron is being removed through the urine), nausea (feeling sick), abdominal pain (stomach ache) and vomiting.
",0,-5.979951,-1.0537837
"There's tons of that going on in the songs, which was fun in the studio, but now that I've got a band, is a ball ache to try to recreate live.""
",0,-4.451463,-0.21968357
"""I can get here downstairs studio and focus and forget every little ache and pain that I have.""
",0,-4.7193327,-1.3820571
"In her book ""The Beautiful Ache"", author Leigh McLeroy wrote that the scene represents ""one of those strange moments where love creeps in against all odds and insists on staying put"".
",2,3.1922233,-2.7126255
"Triple Crown series, Venetian Way ran second to Bally Ache in the Florida Derby.
",2,3.9781458,-2.670305
"On 9 January 1999, he complained of a stomach ache and dizziness, and spent most of the day in bed.
",0,-5.8211393,-1.9625038
"After leaving Connecticut on a Sunday morning in 2007 for ""Monday Night Football"" in Pittsburgh, Scott had a stomach ache.
",0,-5.4635983,-1.9753196
"Palmatine can be used to treat Alzheimer’s disease, mainly by inhibiting the activity of acetylcholinesterase (AChE), butyrylcholinesterase (BChE) and neuraminidase-1 (NA-1).
",-1,2.4699662,10.300585
"Stomach Ache Records listed only a Mexican mailing address, and credited to the singles to a fictional person named Charlie Ward, so that any responsibility could be deflected.
",2,4.4699974,-2.6063645
"Meanwhile, at school, Bart does not want to take a test, so he fakes a stomach ache.
",0,-5.2742696,-1.6078905
"Charles Champlin of the ""Los Angeles Times"" was also negative, writing, ""When the romantic comedy can't make its make-believe believable, the results (hinting of beads of perspiration on the brow and cigarette butts beside the typewriter in the cold gray dawn) are more likely to make the teeth ache.
",0,-5.6794853,-2.0764856
"For this old whale had got himself a mighty stomach ache
",0,-2.3357358,-0.22691725
"Ache was eventually released, supposedly after the payment of a large ransom.
",1,1.7681051,1.3040658
"The bribed royal physician prescribed the milk of Tiger as the only cure for this ache.
",0,-5.201188,0.020095808
"Tony Heywood of MusicOMH noted that in the song, Clarkson's voice is ""full of vulnerability, ache and wounded pride.""
",0,-4.829095,-1.352426
"According to the manufacturer, Protandim can cause allergic responses, gastrointestinal disturbances (stomach ache, diarrhea, vomiting), headache, and rash of the hands and feet.
",0,-5.545654,-0.8195761
"Those songs that speak of love without having within in their lines an ache or a sigh are not love songs at all but rather Hate Songs disguised as love songs, and are not to be trusted.
",0,-4.336906,-0.60436845
"When I pedal and walk, it comes and goes, but mostly it's an ache, like an arthritis pain.
",0,-4.887244,-0.9115517
"Carbamate pesticides are less dangerous to humans than organophosphorus pesticides because carbamylation of the enzyme is unstable, and the regeneration of AChE is faster compared to a phosphorylated enzyme.
",4,0.7946038,8.279563
"Pinter satirises academics or intellectual ""distance"" in several of his plays, beginning with his character Edward, a scholarly writer, in ""A Slight Ache"" (1959) and continuing with Teddy, an English philosophy professor in an American university who refuses to become ""lost in it"", in ""The Homecoming"" (1965), and Devlin, an English academic, in ""Ashes to Ashes"" (1996).
",2,4.391288,-3.2129068
"She is direct and assertive in the lines ""Touch me, hold me/How my open arms ache"" while she is more poetic and metaphoric in the line ""You crush the lily in my soul.""
",0,-4.780441,-1.574349
"Generally, US-based dictionaries contain pronunciation information for all headwords, while UK-based dictionaries provide pronunciation information only for unusual (e.g., ""ache"") or ambiguously spelled (e.g., ""bow"") words.
",0,-3.3474138,0.23634483
"Immediately after this bottleneck the Windauer Ache joins the Brixenbach from the south.
",2,4.793468,-2.0783982
"One example is the FDA-approved acetylcholinesterase (AChE) inhibitor tacrine which is used in the treatment of Alzheimer's disease.
",4,2.0309606,8.52232
"Country music historian Paul Kingsbury also highlighted her ""ache"", saying in 2007, ""Cline's hit recording swings with such velvety finesse, and her voice throbs and aches so exquisitely, that the entire production sounds absolutely effortless.""
",0,-4.2061224,-0.4499928
"Some patients are able to strengthen their shoulders to limit the day to day dull ache, but with limited mobility and function.
",0,-5.121599,-0.3753126
"By the time of the next historical accounts about Ache in 1570, Maynila was also being ruled by his nephew, Sulayman, who also held the title of Rajah.
",2,3.3006067,-2.1078923
"The Thiersee Ache drains the Lake, has a length of 7 km, which merges with the Inn River anew.
",2,3.9208922,-2.3474188
"Among the most famous works created for radio are Dylan Thomas's ""Under Milk Wood"" (1954), Samuel Beckett's ""All That Fall"" (1957), Harold Pinter's ""A Slight Ache"" (1959) and Robert Bolt's ""A Man for All Seasons"" (1954).
",2,4.812758,-3.562735
"The Leutascher Ache (also: ""Leutasch"", in its upper range Gaistalbach) is a river of Tyrol, Austria and of Bavaria, Germany, a left tributary of the Isar.
",2,6.1908565,-1.469385
"In 1521, Ache was coming fresh from a military victory at the helm of the Bruneian navy and was supposedly on his way to Maynila with the intent of confronting his cousin when he came upon and attacked the remnants of the Magellan expedition, then under the command of Sebastian Elcano.
",2,3.5577083,-2.4014351
"Later, at her party, everyone shows up but Frank, who has a stomach ache.
",0,-5.3947325,-1.73415
"The pain may be described as an ache, burning sensation, or occasionally a stabbing pain that radiates to the back.
",0,-5.2426233,-1.0749239
"Elcano, however, was able to defeat and capture Ache.
",2,2.0798137,-2.156537
"The pain is often described as a burning or dull ache.
",0,-5.1981297,-0.90374935
"In central Africa the tree is known as a remedy for stomach ache and diarrhoea.
",0,-5.8214254,-0.7468047
